	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
巻	かん	Volumes of books	Common	Daily	いっかん	にかん	さんかん	よんかん	ごかん	ろっかん	ななかん (しちかん)	はっかん はちかん	きゅうかん	じゅっかん (じっかん)	なんかん		
曲	きょく	Songs, music	Common	Daily	いっきょく	にきょく	さんきょく	よんきょく	ごきょく	ろっきょく	ななきょく (しちきょく)	はっきょく はちきょく	きゅうきょく	じゅっきょく (じっきょく)	なんきょく		
切れ	きれ	Sliced pieces of fish, meat, cake, bread, cheese etc.	Common	Daily	ひときれ	ふたきれ	さんきれ (みきれ)	よんきれ	ごきれ	ろっきれ	ななきれ	はっきれ はちきれ	きゅうきれ	じゅっきれ (じっきれ)	なんきれ		Kun'yomi. I looked up しちきれ readings, but couldn't find them anywhere, so probably no しち here.
口	くち	Bites, sips	Common	Daily/Formal	ひとくち	ふたくち	さんくち (みくち)	よんくち	ごくち	ろっくち	ななくち	はっくち (はちくち)	きゅうくち	じゅっくち (じっくち)	なんくち		京の七口（ななくち／しちくち）  福島県福島市山口七口 (しちくち) Kun'yomi. I looked up しちくち readings, but couldn't find them anywhere other than the above specific ones, so probably we don't have to add them.
組	くみ	Couples, pairs, or groups of something	Common	Daily	ひとくみ	ふたくみ	さんくみ	よんくみ	ごくみ	ろっくみ	ななくみ (しちくみ)	はちくみ (はっくみ)	きゅうくみ	じゅっくみ	なんくみ		Kun'yomi, but there are some しちくみ usages.
組	くみ	Classroom numbers	Common	Daily	いちくみ	にくみ	さんくみ	よんくみ	ごくみ	ろっくみ	ななくみ (しちくみ)	はちくみ (はっくみ)	きゅうくみ	じゅっくみ (じっくみ)	なんくみ		Kun'yomi, but there are some しちくみ usages.
件	けん	Matters, cases	Common	Formal	いっけん	にけん	さんけん	よんけん	ごけん	ろっけん	ななけん (しちけん)	はっけん はちけん	きゅうけん	じゅっけん (じっけん)	なんけん		
軒	けん	Houses, tenements, shops, restaurants	Common	Daily	いっけん	にけん	さんけん	よんけん	ごけん	ろっけん	ななけん (しちけん)	はっけん はちけん	きゅうけん	じゅっけん (じっけん)	なんげん (なんけん)		
語	ご	Words	Common	Formal	いちご	にご	さんご	よんご	ごご	ろくご	ななご しちご	はちご	きゅうご	じゅうご	なんご		
校	こう	Schools	Common	Formal	いっこう	にこう	さんこう	よんこう	ごこう	ろっこう	ななこう (しちこう)	はっこう はちこう	きゅうこう	じゅっこう (じっこう)	なんこう		
皿	さら	Plates, dishes	Common	Daily	ひとさら	ふたさら	さんさら (みさら)	よんさら	ごさら	ろくさら	ななさら	はっさら はちさら	きゅうさら	じゅっさら (じっさら)	なんさら		Kun'yomi. I couldn't see any しちさら usage, so I'm not adding it.
試合	しあい	Games, matches	Common	Daily	いっしあい	にしあい	さんしあい	よんしあい	ごしあい	ろくしあい	ななしあい	はっしあい (はちしあい)	きゅうしあい	じゅっしあい (じっしあい)	なんしあい		This is On'yomi, and I think technically しちしあい isn't wrong, but it's a mouthful and I've never heard it. So, I'm not adding it.
