	↑ Click "File" > "Download As" to download				Getting started with Japanese Counters:		https://www.tofugu.com/japanese/japanese-counters-guide/										
軍	ぐん	Army groups, baseball and other sports teams, etc.	Semi Common	Formal	いちぐん	にぐん	さんぐん	よんぐん	ごぐん	ろくぐん	ななぐん (しちぐん)	はちぐん	きゅうぐん	じゅうぐん	なんぐん		
景	けい	Views, sceneries, scenes of a play etc.	Semi Common	Formal	いっけい	にけい	さんけい	よんけい	ごけい	ろっけい	ななけい (しちけい)	はっけい (はちけい)	きゅうけい	じゅっけい (じっけい)	なんけい		
桁	けた	Figures, digits, decimal places	Semi Common	Formal	ひとけた	ふたけた	さんけた みけた	よんけた	ごけた	ろっけた	ななけた	はっけた (はちけた)	きゅうけた	じゅっけた (じっけた)	なんけた		
鍵	けん	Keys on a piano/computer keyboard	Semi Common	Formal	いっけん	にけん	さんけん	よんけん	ごけん	ろっけん	ななけん (しちけん)	はっけん (はちけん)	きゅうけん	じゅっけん (じっけん)	なんけん		
限	げん	College/university classes	Semi Common	Formal	いちげん	にげん	さんげん	よげん (よんげん)	ごげん	ろくげん	ななげん (しちげん)	はちげん	きゅうげん	じゅうげん	なんげん		
戸	こ	Houses	Semi Common	Formal	いっこ	にこ	さんこ	よんこ	ごこ	ろっこ	ななこ (しちこ)	はっこ (はちこ)	きゅうこ	じゅっこ (じっこ)	なんこ		
行	こう	Banks, deeds, groups of people	Semi Common	Formal	いっこう	にこう	さんこう	よんこう	ごこう	ろっこう	ななこう (しちこう)	はっこう (はちこう)	きゅうこう	じゅっこう (じっこう)	なんこう		
項	こう	Articles of law, or articles in a constitution/other legal document	Semi Common	Formal	いっこう	にこう	さんこう	よんこう	ごこう	ろっこう	ななこう (しちこう)	はっこう (はちこう)	きゅうこう	じゅっこう (じっこう)	なんこう		
号	ごう	Room numbers, train numbers, magazine volume numbers etc.	Semi Common	Daily/Formal	いちごう	にごう	さんごう	よんごう	ごごう	ろくごう	ななごう (しちごう)	はちごう	きゅうごう	じゅうごう	なんごう		
合	ごう	Cups of rice, stages of a mountain trail path	Semi Common	Daily	いちごう	にごう	さんごう	よんごう	ごごう	ろくごう	ななごう (しちごう)	はちごう	きゅうごう	じゅうごう	なんごう		
声	こえ/せい	Vocalizations	Semi Common	Daily	ひとこえ いっせい	ふたこえ にせい	さんせい	よんせい	ごせい	ろくせい	ななせい (しちせい)	はっせい (はちせい)	きゅうせい	じゅっせい (じっせい)	なんせい		
国	こく	Countries	Semi Common	Formal	いっこく	にこく	さんこく (さんごく)	よんこく (よんごく)	ごこく	ろっこく	ななこく (しちこく)	はっこく (はちこく)	きゅうこく	じゅっこく (じっこく)	なんこく (なんごく)		
言	こと	Words you say/write	Semi Common	Daily	ひとこと	ふたこと	さんこと みこと	よんこと	ごこと	ろっこと	ななこと (しちこと)	はっこと はちこと	きゅうこと	じゅっこと (じっこと)	なんこと		
齣	こま	Scenes of a play/movie/drama, classes, lectures etc.	Semi Common	Formal	ひとこま	ふたこま	さんこま	よんこま	ごこま	ろっこま	ななこま (しちこま)	はっこま はちこま	きゅうこま	じゅっこま (じっこま)	なんこま		
作	さく	Pieces of art, novels, movies, etc.	Semi Common	Formal	いっさく	にさく	さんさく	よんさく	ごさく	ろくさく	ななさく (しちさく)	はっさく はちさく	きゅうさく	じゅっさく (じっさく)	なんさく		
柵/冊	さく	Fish strips/blocks	Semi Common	Formal	ひとさく	ふたさく	さんさく	よんさく	ごさく	ろくさく	ななさく	はっさく はちさく	きゅうさく	じゅっさく (じっさく)	なんさく		
刺し	さし	Stabbings	Semi Common	Daily	ひとさし	ふたさし	さんさし (みさし)	よんさし	ごさし	ろくさし	ななさし	はっさし はちさし	きゅうさし	じゅっさし (じっさし)	なんさし		
匙	さじ	Spoonfuls of something, tablespoons, teaspoons	Semi Common	Daily	ひとさじ	ふたさじ	さんさじ (みさじ)	よんさじ	ごさじ	ろくさじ	ななさじ	はっさじ はちさじ	きゅうさじ	じゅっさじ (じっさじ)	なんさじ		
莢	さや	Pea pods	Semi Common	Daily	ひとさや	ふたさや	さんさや (みさや)	よんさや	ごさや	ろくさや	ななさや	はっさや はちさや	きゅうさや	じゅっさや (じっさや)	なんさや		
紙	し	Newspapers	Semi Common	Formal	いっし	にし	さんし	よんし	ごし	ろくし	ななし	はっし はちし	きゅうし	じゅっし (じっし)	なんし		7 could be read as しち here, but it's a mouthful and very rare, so I'm not adding it.
歯	し	Teeth	Semi Common	Formal	いっし	にし	さんし	よんし	ごし	ろくし	ななし	はっし はちし	きゅうし	じゅっし (じっし)	なんし		7 could be read as しち here, but it's a mouthful and very rare, so I'm not adding it.
誌	し	Magazines, tabloids	Semi Common	Formal	いっし	にし	さんし	よんし	ごし	ろくし	ななし	はっし はちし	きゅうし	じゅっし (じっし)	なんし		7 could be read as しち here, but it's a mouthful and very rare, so I'm not adding it.
字	じ	Letters, characters, moras in poetry	Semi Common	Formal	いちじ	にじ	さんじ	よじ	ごじ	ろくじ	ななじ (しちじ)	はちじ	きゅうじ	じゅうじ	なんじ		
次	じ	Order or sequence of events/affairs/occurences/incidents	Semi Common	Formal	いちじ	にじ	さんじ	よじ (よんじ)	ごじ	ろくじ	ななじ (しちじ)	はちじ	きゅうじ	じゅうじ	なんじ		
児	じ	Children	Semi Common	Formal	いちじ	にじ	さんじ	よじ	ごじ	ろくじ	ななじ (しちじ)	はちじ	きゅうじ	じゅうじ	なんじ		
軸	じく	Scrolls, hanging scrolls	Semi Common	Formal	ひとじく	ふたじく	さんじく	よんじく	ごじく	ろくじく	ななじく	はちじく	きゅうじく	じゅうじく	なんじく		
次元	じげん	Dimensions	Semi Common	Formal	いちじげん	にじげん	さんじげん	よじげん	ごじげん	ろくじげん	ななじげん (しちじげん)	はちじげん	きゅうじげん	じゅうじげん	なんじげん		
次元	じげん	Levels	Semi Common	Formal	ひとじげん	ふたじげん	さんじげん	よじげん	ごじげん	ろくじげん	ななじげん	はちじげん	きゅうじげん	じゅうじげん	なんじげん		
室	しつ	Rooms	Semi Common	Formal	いっしつ	にしつ	さんしつ	よんしつ	ごしつ	ろくしつ	ななしつ (しちしつ)	はっしつ はちしつ	きゅうしつ	じゅっしつ (じっしつ)	なんしつ		
者	しゃ	People affected by something	Semi Common	Formal	いっしゃ	にしゃ	さんしゃ	よんしゃ	ごしゃ	ろくしゃ	ななしゃ (しちしゃ)	はっしゃ はちしゃ	きゅうしゃ	じゅっしゃ (じっしゃ)	なんしゃ		
種	しゅ	Kinds, varieties, types	Semi Common	Formal	いっしゅ	にしゅ	さんしゅ	よんしゅ	ごしゅ	ろくしゅ	ななしゅ (しちしゅ)	はっしゅ はちしゅ	きゅうしゅ	じゅっしゅ (じっしゅ)	なんしゅ		
種目	しゅもく	Sport events	Semi Common	Formal	いっしゅもく	にしゅもく	さんしゅもく	よんしゅもく	ごしゅもく	ろくしゅもく	ななしゅもく (しちしゅもく)	はっしゅもく はちしゅもく	きゅうしゅもく	じゅっしゅもく (じっしゅもく)	なんしゅもく		
重	じゅう	Things that overlap	Semi Common	Formal	いちじゅう	にじゅう	さんじゅう	よんじゅう	ごじゅう	ろくじゅう	ななじゅう (しちしゅもく)	はちじゅう	きゅうじゅう	じゅうじゅう	なんじゅう		
周年	しゅうねん	Anniversary years	Semi Common	Formal	いっしゅうねん	にしゅうねん	さんしゅうねん	よんしゅうねん	ごしゅうねん	ろくしゅうねん	ななしゅうねん (しちしゅうねん)	はっしゅうねん はちしゅうねん	きゅうしゅうねん	じゅっしゅうねん (じっしゅうねん)	なんしゅうねん		
巡	じゅん	Cycles, rounds, circuits	Semi Common	Formal	いちじゅん	にじゅん	さんじゅん	よんじゅん	ごじゅん	ろくじゅん	ななじゅん (しちじゅん)	はちじゅん	きゅうじゅん	じゅうじゅん	なんじゅん		
女	じょ	Daughters	Semi Common	Formal	いちじょ	じじょ	さんじょ	よんじょ	ごじょ	ろくじょ	しちじょ ななじょ	はちじょ	きゅうじょ	じゅうじょ	なんじょ		
升	しょう	Sho units (about 1.8 liters)	Semi Common	Formal	いっしょう	にしょう	さんしょう	よんしょう	ごしょう	ろくしょう	ななしょう (しちしょう)	はっしょう はちしょう	きゅうしょう	じゅっしょう (じっしょう)	なんしょう		
床	しょう	Hospital beds	Semi Common	Formal	いっしょう	にしょう	さんしょう	よんしょう	ごしょう	ろくしょう	ななしょう (しちしょう)	はっしょう はちしょう	きゅうしょう	じゅっしょう (じっしょう)	なんしょう		
城	じょう	Castles, palaces	Semi Common	Formal	いちじょう	にじょう	さんじょう	よんじょう	ごじょう	ろくじょう	ななじょう (しちじょう)	はちじょう	きゅうじょう	じゅうじょう	なんじょう		
畳	じょう	Tatami mats	Semi Common	Formal	いちじょう	にじょう	さんじょう	よんじょう	ごじょう	ろくじょう	ななじょう (しちじょう)	はちじょう	きゅうじょう	じゅうじょう	なんじょう		
錠	じょう	Pill/tablet/capsule medicine	Semi Common	Daily	いちじょう	にじょう	さんじょう	よんじょう	ごじょう	ろくじょう	ななじょう (しちじょう)	はちじょう	きゅうじょう	じゅうじょう	なんじょう		
親等	しんとう	Degrees of kinship	Semi Common	Formal	いっしんとう	にしんとう	さんしんとう	よんしんとう	ごしんとう	ろくしんとう	ななしんとう	はっしんとう はちしんとう	きゅうしんとう	じゅっしんとう (じっしんとう)	なんしんとう		しち for 7 is possible, but you never ever hear it, so I'm not adding it.
図	ず	Diagrams, illustrations, charts, graphs, sketches, etc.	Semi Common	Formal	いちず	にず	さんず	よんず	ごず	ろくず	ななず (しちず)	はちず	きゅうず	じゅうず	なんず		
掬い	すくい	Scoops	Semi Common	Daily	ひとすくい	ふたすくい	さんすくい みすくい	よんすくい	ごすくい	ろくすくい	ななすくい	はっすくい はちすくい	きゅうすくい	じゅっすくい (じっすくい)	なんすくい		
筋	すじ	Long, thin things	Semi Common	Daily	ひとすじ	ふたすじ	さんすじ みすじ	よんすじ	ごすじ	ろくすじ	ななすじ	はっすじ はちすじ	きゅうすじ	じゅっすじ (じっすじ)	なんすじ		
刷	すり	Printings, pressings	Semi Common	Formal	ひとすり	ふたすり	さんすり みすり	よんすり	ごすり	ろくすり	ななすり	はっすり はちすり	きゅうすり	じゅっすり (じっすり)	なんすり		
世	せい	Generations	Semi Common	Formal	いっせい	にせい	さんせい	よんせい	ごせい	ろくせい	ななせい	はっせい	きゅうせい	じゅっせい (じっせい)	なんせい		しち for 7 is possible, but you never ever hear it, so I'm not adding it.
隻	せき	Battleships, vessels, large boats	Semi Common	Formal	いっせき	にせき	さんせき	よんせき	ごせき	ろくせき	ななせき (しちせき)	はっせき はちせき	きゅうせき	じゅっせき (じっせき)	なんせき		
世帯	せたい	Households, families	Semi Common	Formal	いっせたい	にせたい	さんせたい	よんせたい	ごせたい	ろくせたい	ななせたい (しちせたい)	はっせたい はちせたい	きゅうせたい	じゅっせたい (じっせたい)	なんせたい		
節	せつ	Passages, sections, paragraphs	Semi Common	Formal	いっせつ	にせつ	さんせつ	よんせつ	ごせつ	ろくせつ	ななせつ (しちせつ)	はっせつ はちせつ	きゅうせつ	じゅっせつ (じっせつ)	なんせつ		
説	せつ	Explanations, opinions	Semi Common	Formal	いっせつ	にせつ	さんせつ	よんせつ	ごせつ	ろくせつ	ななせつ (しちせつ)	はっせつ はちせつ	きゅうせつ	じゅっせつ (じっせつ)	なんせつ		
選	せん	Things selected/chosen by someone	Semi Common	Formal	いっせん	にせん	さんせん	よんせん	ごせん	ろくせん	ななせん (しちせん)	はっせん はちせん	きゅうせん	じゅっせん (じっせん)	なんせん		
膳	ぜん	Chopsticks, bowls of rice	Semi Common	Formal	いちぜん	にぜん	さんぜん	よんぜん	ごぜん	ろくぜん	ななぜん (しちぜん)	はちぜん	きゅうぜん	じゅうぜん	なんぜん		
層	そう	Layers	Semi Common	Formal	いっそう	にそう	さんそう	よんそう	ごそう	ろくそう	ななそう (しちそう)	はっそう (はちそう)	きゅうそう	じゅっそう (じっそう)	なんそう		
槽	そう	Tubs, tanks	Semi Common	Formal	いっそう	にそう	さんそう	よんそう	ごそう	ろくそう	ななそう (しちそう)	はっそう はちそう	きゅうそう	じゅっそう (じっそう)	なんそう		
艘	そう	Small ships and boats	Semi Common	Formal	いっそう	にそう	さんそう	よんそう	ごそう	ろくそう	ななそう (しちそう)	はっそう はちそう	きゅうそう	じゅっそう (じっそう)	なんそう		
則	そく	Rules, provision rules	Semi Common	Formal	いっそく	にそく	さんそく	よんそく (しそく)	ごそく	ろくそく	ななそく (しちそく)	はっそく (はちそく)	きゅうそく	じゅっそく (じっそく)	なんそく		
速	そく	Car, motorcycle, and mountain bike gears	Semi Common	Formal	いっそく	にそく	さんそく	よんそく	ごそく	ろくそく	ななそく (しちそく)	はっそく	きゅうそく	じゅっそく (じっそく)	なんそく		
揃い	そろい	Sets of things	Semi Common	Daily	ひとそろい	ふたそろい	みつぞろい （さんそろい）	よんそろい (よつぞろい)	ごそろい	ろくそろい	ななそろい	はちそろい	きゅうそろい	じゅっそろい (じっそろい)	なんそろい		
尊	そん	Jizo statues, Buddhism statues	Semi Common	Formal	いっそん	にそん	さんそん	よんそん	ごそん	ろくそん	ななそん (しちそん)	はっそん (はちそん)	きゅうそん	じゅっそん (じっそん)	なんそん		
打	だ	Battings, strokes (in sports)	Semi Common	Daily	いちだ	にだ	さんだ	よんだ	ごだ	ろくだ	ななだ (しちだ)	はちだ	きゅうだ	じゅうだ	なんだ		
体	たい	Statues, dolls	Semi Common	Daily	いったい	にたい	さんたい	よんたい	ごたい	ろくたい	ななたい (しちたい)	はったい はちたい	きゅうたい	じゅったい (じったい)	なんたい		
隊	たい	Army teams	Semi Common	Formal	いったい	にたい	さんたい	よんたい	ごたい	ろくたい	ななたい (しちたい)	はったい はちたい	きゅうたい	じゅったい (じったい)	なんたい		
代	だい	Generations in family line (eg. of royals)	Semi Common	Formal	いちだい	にだい	さんだい	よんだい	ごだい	ろくだい	ななだい (しちだい)	はちだい	きゅうだい	じゅうだい	なんだい		
題	だい	Titles, problems, questions	Semi Common	Formal	いちだい	にだい	さんだい	よんだい	ごだい	ろくだい	ななだい (しちだい)	はちだい	きゅうだい	じゅうだい	なんだい		
卓	たく	Tables, desks	Semi Common	Formal	いったく	にたく	さんたく	よんたく	ごたく	ろくたく	ななたく (しちたく)	はったく はちたく	きゅうたく	じゅったく (じったく)	なんたく		
樽	たる	Barrels, kegs	Semi Common	Formal	ひとたる	ふたたる (にたる)	さんたる	よんたる	ごたる	ろくたる	ななたる	はったる はちたる	きゅうたる	じゅったる (じったる)	なんたる		
弾	だん	Bullets, events, projects	Semi Common	Formal	いちだん	にだん	さんだん	よんだん	ごだん	ろくだん	ななだん (しちだん)	はちだん	きゅうだん	じゅうだん	なんだん		
団	だん	Groups (i.e. orchestra, travellers, students)	Semi Common	Formal	いちだん	にだん	さんだん	よんだん	ごだん	ろくだん	ななだん (しちだん)	はちだん	きゅうだん	じゅうだん	なんだん		
単位	たんい	Academic credits	Semi Common	Formal	いったんい	にたんい	さんたんい	よんたんい	ごたんい	ろくたんい	ななたんい (しちたんい)	はったんい はちたんい	きゅうたんい	じゅったんい (じったんい)	なんたんい		
段階	だんかい	Steps, stages, or phases of a project	Semi Common	Formal	いちだんかい	にだんかい	さんだんかい	よんだんかい	ごだんかい	ろくだんかい	ななだんかい (しちだんかい)	はちだんかい	きゅうだんかい	じゅうだんかい	なんだんかい		
段落	だんらく	Paragraphs, task stages	Semi Common	Formal	いちだんらく	にだんらく	さんだんらく	よんだんらく	ごだんらく	ろくだんらく	ななだんらく (しちだんらく)	はちだんらく	きゅうだんらく	じゅうだんらく	なんだんらく		
丁	ちょう	Servings of food in a restaurant (tofu, ramen etc.)	Semi Common	Daily	いっちょう	にちょう	さんちょう	よんちょう	ごちょう	ろくちょう	ななちょう	はっちょう (はちちょう)	きゅうちょう	じゅっちょう (じっちょう)	なんちょう		しち for 7 is possible, but you never ever hear it because it'd be mouthful, so I'm not adding it.
挺	ちょう	Long and narrow things (knives, rifles, etc.)	Semi Common	Formal	いっちょう	にちょう	さんちょう	よんちょう	ごちょう	ろくちょう	ななちょう	はっちょう (はちちょう)	きゅうちょう	じゅっちょう (じっちょう)	なんちょう		しち for 7 is possible, but you never ever hear it because it'd be mouthful, so I'm not adding it.
対	つい	Pairs of things	Semi Common	Formal	いっつい	につい	さんつい	よんつい	ごつい	ろくつい	ななつい (しちつい)	はっつい (はちつい)	きゅうつい	じゅっつい (じっつい)	なんつい		
掴み	つかみ	Handfuls of things	Semi Common	Daily	ひとつかみ	ふたつかみ	さんつかみ (みつかみ)	よんつかみ	ごつかみ	ろくつかみ	ななつかみ	はちつかみ	きゅうつかみ	じゅっつかみ (じっつかみ)	なんつかみ		
包み	つつみ	Wrapped things	Semi Common	Daily	ひとつつみ	ふたつつみ	さんつつみ (みつつみ)	よんつつみ	ごつつみ	ろくつつみ	ななつつみ	はちつつみ	きゅうつつみ	じゅっつつみ (じっつつみ)	なんつつみ		
綴り	つづり	Sets of coupons/tickets/vouchers	Semi Common	Formal	ひとつづり	ふたつづり	さんつづり (みつづり)	よんつづり	ごつづり	ろくつづり	ななつづり	はちつづり	きゅうつづり	じゅっつづり (じっつづり)	なんつづり		
坪	つぼ	Tsubo units (about 3.31 square meters)	Semi Common	Formal	ひとつぼ	ふたつぼ	さんつぼ (みつぼ)	よんつぼ	ごつぼ	ろくつぼ	ななつぼ	はっつぼ はちつぼ	きゅうつぼ	じゅっつぼ (じっつぼ)	なんつぼ		
壺	つぼ	Tsubo pots, things in tsubo pots	Semi Common	Daily	ひとつぼ	ふたつぼ	さんつぼ (みつぼ)	よんつぼ	ごつぼ	ろくつぼ	ななつぼ	はっつぼ はちつぼ	きゅうつぼ	じゅっつぼ (じっつぼ)	なんつぼ		
摘み	つまみ	Pinches of something	Semi Common	Daily	ひとつまみ	ふたつまみ	さんつまみ	よんつまみ	ごつまみ	ろくつまみ	ななつまみ	はちつまみ	きゅうつまみ	じゅっつまみ (じっつまみ)	なんつまみ		
手	て	Martial art wazas, shogi moves, card game hands	Semi Common	Daily/Formal	いって	にて ふたて	さんて	よんて	ごて	ろくて	ななて	はって (はちて)	きゅうて	じゅって (じって)	なんて		
艇	てい	Race boats	Semi Common	Formal	いってい	にてい	さんてい	よんてい	ごてい	ろくてい	ななてい (しちてい)	はってい (はちてい)	きゅうてい	じゅってい (じってい)	なんてい		
滴	てき	Drops of liquid	Semi Common	Daily	いってき	にてき	さんてき	よんてき	ごてき	ろくてき	ななてき (しちてき)	はってき (はちてき)	きゅうてき	じゅってき (じってき)	なんてき		
店	てん	Shops, restaurants	Semi Common	Formal	いってん	にてん	さんてん	よんてん	ごてん	ろくてん	ななてん (しちてん)	はってん (はちてん)	きゅうてん	じゅってん (じってん)	なんてん		
店舗	てんぽ	Shops, restaurants	Semi Common	Formal	いってんぽ	にてんぽ	さんてんぽ	よんてんぽ	ごてんぽ	ろくてんぽ	ななてんぽ (しちてんぽ)	はってんぽ (はちてんぽ)	きゅうてんぽ	じゅってんぽ (じってんぽ)	なんてんぽ		
斗	と	To units (about 18.04 liters)	Semi Common	Formal	いっと	にと	さんと	よんと	ごと	ろくと	ななと (しちと)	はっと (はちと)	きゅうと	じゅっと (じっと)	なんと		
灯	とう	Lights, lamps	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
投	とう	Pitches (in baseball)	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
島	とう	Islands	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
盗	とう	Instances of base stealing (in baseball)	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
塔	とう	Towers	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう はちとう	きゅうとう	じゅっとう (じっとう)	なんとう		
棟	とう/むね	Buildings	Semi Common	Formal	いっとう ひとむね	にとう ふたむね	さんとう さんむね	よんとう よんむね	ごとう ごむね	ろくとう ろくむね	ななとう (しちとう) ななむね	はっとう はちとう はちむね	きゅうとう	じゅっとう (じっとう)	なんとう		
湯	とう/ゆ	Hot springs	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
等	とう	Prize numbers, race places	Semi Common	Formal	いっとう	にとう	さんとう	よんとう	ごとう	ろくとう	ななとう (しちとう)	はっとう (はちとう)	きゅうとう	じゅっとう (じっとう)	なんとう		
堂	どう	Chapels, temples, shrines, halls	Semi Common	Formal	いちどう	にどう	さんどう	よんどう	ごどう	ろくどう	ななどう (しちどう)	はちどう	きゅうどう	じゅうどう	なんどう		
通り	とおり	Methods, ways, procedures etc.	Semi Common	Daily	ひととおり	ふたとおり	さんとおり (みとおり)	よんとおり	ごとおり	ろくとおり	ななとおり	はっとおり はちとおり	きゅうとおり	じゅっとおり (じっとおり)	なんとおり		
度数	どすう	Message-rates of telephone cards, power of contact lenses	Semi Common	Formal	いちどすう	にどすう	さんどすう	よんどすう	ごどすう	ろくどすう	ななどすう (しちどすう)	はちどすう	きゅうどすう	じゅうどすう	なんどすう		
鍋	なべ	Nabe pots, nabe dishes	Semi Common	Daily	ひとなべ	ふたなべ	さんなべ	よんなべ	ごなべ	ろくなべ	なななべ	はちなべ	きゅうなべ	じゅうなべ	なんなべ		
男	なん	Sons	Semi Common	Formal	いちなん	じなん	さんなん	よんなん	ごなん	ろくなん	しちなん	はちなん	きゅうなん	じゅうなん	なんなん		
握り	にぎり	Handfuls of things	Semi Common	Daily	ひとにぎり	ふたにぎり	さんにぎり	よんにぎり	ごにぎり	ろくにぎり	ななにぎり	はちにぎり	きゅうにぎり	じゅうにぎり	なんにぎり		
波	は	Waves, tsunamis, ripples	Semi Common	Formal	いっぱ	には	さんぱ	よんは よんぱ	ごは	ろっぱ	ななは (しちは)	はっぱ はちは	きゅうは	じゅっぱ (じっぱ)	なんは		
派	は	Literature groups, schools of poets, factions of political parties, Buddhism sects	Semi Common	Formal	いっぱ	には	さんぱ	よんは よんぱ	ごは	ろっぱ	ななは (しちは)	はっぱ はちは	きゅうは	じゅっぱ (じっぱ)	なんは		
倍	ばい	The number of times something happens	Semi Common	Formal	いちばい	にばい	さんばい	よんばい	ごばい	ろくばい	ななばい (しちばい)	はちばい	きゅうばい	じゅうばい	なんばい		
拍	はく	Musical times, beat times, moras	Semi Common	Formal	いっぱく	にはく	さんぱく	よんはく よんぱく	ごはく	ろっぱく	ななはく (しちはく)	はっぱく はちはく	きゅうはく	じゅっぱく (じっぱく)	なんはく		
刷毛	はけ	Paintbrush strokes	Semi Common	Daily	ひとはけ	ふたはけ	さんはけ	よんはけ (よんぱけ)	ごはけ	ろっぱけ	ななはけ	はっぱけ はちはけ	きゅうはけ	じゅっぱけ (じっぱけ)	なんはけ		
馬身	ばしん	Horse body lengths	Semi Common	Formal	いちばしん	にばしん	さんばしん	よんばしん	ごばしん	ろくばしん	しちばしん ななばしん	はちばしん	きゅうばしん	じゅうばしん	なんばしん		
腹	はら	Sacks of fish roe	Semi Common	Daily	ひとはら	ふたはら	さんはら (みはら)	よんはら	ごはら	ろくはら	ななはら	はちはら	きゅうはら	じゅっぱら (じっぱら)	なんはら		
針	はり	Seams, stitches, sutures	Semi Common	Daily	ひとはり	ふたはり	さんはり (みはり)	よんはり	ごはり	ろくはり	ななはり	はちはり	きゅうはり	じゅっぱり (じっぱり)	なんはり		
張り	はり	Tents, stage curtains, banners, things you stretch out	Semi Common	Formal	ひとはり	ふたはり	さんはり (みはり)	よんはり	ごはり	ろくはり	ななはり	はちはり	きゅうはり	じゅっぱり (じっぱり)	なんはり		
犯	はん	Criminal records	Semi Common	Formal	いっぱん	にはん	さんぱん	よんはん (よんぱん)	ごはん	ろっぱん	ななはん (しちはん)	はちはん (はっぱん)	きゅうはん	じゅっぱん (じっぱん)	なんはん		
判	はん	Paper sizes (A4, A3 etc.)	Semi Common	Formal	いっぱん	にはん	さんぱん	よんはん よんぱん	ごはん	ろっぱん	ななはん (しちはん)	はちはん (はっぱん)	きゅうはん	じゅっぱん (じっぱん)	なんはん なんぱん		
版	はん	Book editions/impressions, printing numbers	Semi Common	Formal	いっぱん	にはん	さんぱん さんばん	よんはん よんばん	ごはん	ろっぱん 	ななはん (しちはん)	はっぱん (はちはん)	きゅうはん	じゅっぱん (じっぱん)	なんはん なんばん		
班	はん	Groups, squads	Semi Common	Daily	いっぱん	にはん	さんはん さんぱん	よんはん (よんぱん)	ごはん	ろっぱん	ななはん (しちはん)	はちはん (はっぱん)	きゅうはん	じゅっぱん (じっぱん)	なんはん なんぱん		
斑	はん	Spots, mottles	Semi Common	Formal	いっぱん	にはん	さんぱん	よんはん (よんぱん)	ごはん	ろっぱん	ななはん (しちはん)	はっぱん (はちはん)	きゅうはん	じゅっぱん (じっぱん)	なんはん		
晩	ばん	Nights	Semi Common	Daily	ひとばん	ふたばん	さんばん (みばん)	よんばん	ごばん	ろくばん	ななばん	はちばん	きゅうばん	じゅうばん	なんばん		
番手	ばんて	Someone's turn in a performance or in sports	Semi Common	Daily	いちばんて	にばんて	さんばんて	よんばんて	ごばんて	ろくばんて	ななばんて (しちばんて)	はちばんて	きゅうばんて	じゅうばんて	なんばんて		
尾	び	Fish	Semi Common	Formal	いちび	にび	さんび	よんび	ごび	ろくび	ななび (しちび)	はちび	きゅうび	じゅうび	なんび		
筆	ひつ	Signatures, messages	Semi Common	Formal	いっぴつ	にひつ	さんひつ さんぴつ	よんひつ (よんぴつ)	ごひつ	ろっぴつ	ななひつ (しちひつ)	はちひつ (はっぴつ)	きゅうひつ	じゅっぴつ (じっぴつ)	なんひつ なんぴつ		
俵	ひょう	Straw bags of rice	Semi Common	Formal	いっぴょう	にひょう	さんひょう さんぴょう	よんひょう (よんぴょう)	ごひょう	ろっぴょう	ななひょう (しちひょう)	はちひょう (はっぴょう)	きゅうひょう	じゅっぴょう (じっぴょう)	なんひょう なんぴょう		
拍子	ひょうし	Musical times, beat times	Semi Common	Formal	いちびょうし	にびょうし	さんびょうし	よんびょうし	ごびょうし	ろくびょうし	ななびょうし (しちびょうし)	はちびょうし	きゅうびょうし	じゅうびょうし	なんびょうし		
瓶	びん	Glass bottles, glass jars	Semi Common	Daily	ひとびん	ふたびん	さんびん	よんびん	ごびん	ろくびん	ななびん (しちびん)	はちびん	きゅうびん	じゅうびん	なんびん		
品目	ひんもく	Items, varieties of dishes, number of ingredients	Semi Common	Formal	いちひんもく	にひんもく	さんひんもく	よんひんもく	ごひんもく	ろくひんもく	ななひんもく (しちひんもく)	はちひんもく	きゅうひんもく	じゅっひんもく (じっひんもく)	なんひんもく		
分	ぶ	One-tenths of something (eg. one degree of body tempreture)	Semi Common	Formal	いちぶ	にぶ	さんぶ	よんぶ (よぶ)	ごぶ	ろくぶ	しちぶ (ななぶ)	はちぶ	きゅうぶ	じゅうぶ	なんぶ		
部	ぶ	Copies of a book, magazine etc.	Semi Common	Formal	いちぶ	にぶ	さんぶ	よんぶ 	ごぶ	ろくぶ	ななぶ (しちぶ)	はちぶ	きゅうぶ	じゅうぶ	なんぶ		
