# Generated on 2026-03-18T15:22:45.144Z from https://bunpro.jp/grammar_points
id	href	option	title-jp	title-en
ている1	https://bunpro.jp/grammar_points/ている1	N5 Lesson 5	ている① →  ～ている ①	Is, Am, Are (~ing)
へ	https://bunpro.jp/grammar_points/へ	N5 Lesson 5	へ	To, Toward
verb-にいく	https://bunpro.jp/grammar_points/verb-にいく	N5 Lesson 5	Verb + にいく →  ～にいく	To go ~, To go in order to ~
だれ	https://bunpro.jp/grammar_points/だれ	N5 Lesson 6	誰 →  だれ	Who
なぜ	https://bunpro.jp/grammar_points/なぜ	N5 Lesson 6	なぜ	Why
どうして	https://bunpro.jp/grammar_points/どうして	N5 Lesson 6	どうして	Why
なんで	https://bunpro.jp/grammar_points/なんで	N5 Lesson 6	なんで	Why
い-adjective-predicate	https://bunpro.jp/grammar_points/い-adjective-predicate	N5 Lesson 6	い-Adjective (Predicate) →  い-Adjective + です (Predicate)	い-Adjective (Predicate)
な-adjective-predicate	https://bunpro.jp/grammar_points/な-adjective-predicate	N5 Lesson 6	な-Adjective だ →  な-Adjective + だ (Predicate)	な-Adjective (Predicate)
だった-でした	https://bunpro.jp/grammar_points/だった-でした	N5 Lesson 6	だった・でした	Was, Were (Past tense)
じゃない	https://bunpro.jp/grammar_points/じゃない	N5 Lesson 6	じゃない	Is not, Isn't
じゃなかった	https://bunpro.jp/grammar_points/じゃなかった	N5 Lesson 6	じゃなかった	Was not, Wasn't
い-Adjective-くなかった	https://bunpro.jp/grammar_points/い-Adjective-くなかった	N5 Lesson 6	い-Adjective くなかった →  くなかった	Was not, Wasn't (Adjective)
と	https://bunpro.jp/grammar_points/と	N5 Lesson 6	と	Quotation
って	https://bunpro.jp/grammar_points/って	N5 Lesson 6	って	Casual quotation
verb-non-past	https://bunpro.jp/grammar_points/verb-non-past	N5 Lesson 6	Verbs (Non-past) →  Verb (Non-Past)	(Non-past)
verb-た-noun	https://bunpro.jp/grammar_points/verb-た-noun	N5 Lesson 6	Verb［た・ている］+ Noun →  ～た + (Noun)	Verb modified noun, Relative clause
