# Generated on 2026-02-26T05:40:38.730Z from https://wp.stolaf.edu/japanese/grammar-index/genki-i-ii-grammar-index/
id	href	option	title-en
kotonisuru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kotonisuru-genki-ii-chapter-23/	Genki II	-kotonisuru
kuretearigato	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/kuretearigato-genki-ii-chapter-19/	Genki II	-kuretearigato
location-words	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/location-words-genki-i-chapter-4/	Genki I	Location words
mada-te-imasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/mada-te-imasen-genki-i-chapter-9/	Genki I	mada-te-imasen
maeni-tekara	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/maeni-tekara-genki-ii-chapter-17/	Genki II	-maeni/-tekara
mare	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/mare-genki-ii-chapter-23/	Genki II	-mare
masenka	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/masenka-genki-i-chapter-3/	Genki I	masenka
masho	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/masho-genki-i-chapter-5/	Genki I	masho
mashoka	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/mashoka-genki-i-chapter-6/	Genki I	-mashoka
mitaidesu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/mitaidesu-genki-ii-chapter-17/	Genki II	-mitaidesu
n-desu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/n-desu-genki-i-chapter-12/	Genki I	-n-desu
nagara	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nagara-genki-ii-chapter-18/	Genki II	-nagara
naide	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/naide-genki-ii-chapter-20/	Genki II	-naide
nai-de-kudasai	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nai-de-kudasai-genki-i-chapter-8/	Genki I	-nai-de-kudasai
nakucha-ikemasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nakucha-ikemasen-genki-i-chapter-12/	Genki I	-nakucha-ikemasen
nakutemoiidesu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nakutemoiidesu-genki-ii-chapter-17/	Genki II	-nakutemoiidesu
name-toiu-item	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/name-toiu-item-genki-ii-chapter-20/	Genki II	Name toiu item
nanika-nanimo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nanika-nanimo-genki-i-chapter-8/	Genki I	nanika, nanimo
nara	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/nara-genki-ii-chapter-13/	Genki II	nara
naru-to-become	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/naru-to-become-genki-i-chapter-10/	Genki I	naru (to become)
ni-iku	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/ni-iku-genki-i-chapter-7/	Genki I	-ni iku
no-as-a-pronoun	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/no-as-a-pronoun-genki-i-chapter-10/	Genki I	no as a pronoun
no-with-nouns	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/no-with-nouns-genki-i-chapter-1/	Genki I	” no ” with nouns
node	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/node-genki-i-chapter-12/	Genki I	-node
noni	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/noni-genki-ii-chapter-21/	Genki II	-noni
noun-mo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/noun-mo-genki-i-chapter-2/	Genki I	Noun + mo
noun-ja-arimasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/noun-ja-arimasen-genki-i-chapter-2/	Genki I	Noun + ja-arimasen
noyona-noyoni	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/noyona-noyoni-genki-ii-chapter-22/	Genki II	-noyona/-noyoni
number-mo-number-shika-negative	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/number-mo-number-shika-negative-genki-ii-chapter-14/	Genki II	Number + mo /number + shika + negative
particles	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particles-genki-i-chapter-3/	Genki I	Particles
particle-de	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particle-de-genki-i-chapter-10/	Genki I	Particle de
particle-ga	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particle-ga-genki-i-chapter-8/	Genki I	Particle ga
particle-mo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particle-mo-genki-i-chapter-4/	Genki I	Particle mo
particles-ne-yo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particles-ne-yo-genki-i-chapter-2/	Genki I	Particles ne, yo
particle-to	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particle-to-genki-i-chapter-4/	Genki I	Particle to
particle-wa	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/particle-wa-genki-i-chapter-3/	Genki I	Particle wa
passive-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/passive-sentences-genki-ii-chapter-21/	Genki II	Passive sentences
past-tense	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/past-tense-genki-i-chapter-4/	Genki I	Past tense
potential-verbs	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/potential-verbs-genki-ii-chapter-13/	Genki II	Potential verbs
present-tense	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/present-tense-genki-i-chapter-3/	Genki I	Present tense
qualifying-nouns-with-verbs-and-adjectives	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/qualifying-nouns-with-verbs-and-adjectives-genki-i-chapter-9/	Genki I	Qualifying nouns with verbs and adjectives
question-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/question-sentences-genki-i-chapter-1/	Genki I	Question Sentences
questions-within-larger-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/questions-within-larger-sentences-genki-ii-chapter-20/	Genki II	Questions within larger sentences
respect-language-review	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/respect-language-review-genki-ii-chapter-20/	Genki II	Respect language review
shi	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/shi-genki-ii-chapter-13/	Genki II	-shi
short-forms	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/short-forms-genki-i-chapter-8/	Genki I	Short forms
so-desu-i-hear	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/so-desu-i-hear-genki-ii-chapter-17/	Genki II	-so-desu (I hear)
so-desu-looks-like	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/so-desu-looks-like-genki-ii-chapter-13/	Genki II	-so-desu (Looks like)
sugiru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/sugiru-genki-i-chapter-12/	Genki I	-sugiru
suki-kirai	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/suki-kirai-genki-i-chapter-5/	Genki I	suki, kirai
tai	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tai-genki-i-chapter-11/	Genki I	-tai
takusan	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/takusan-genki-i-chapter-4/	Genki I	takusan
tara	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tara-genki-ii-chapter-17/	Genki II	-tara
tara-dodesuka	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tara-dodesuka-genki-ii-chapter-14/	Genki II	-tara-dodesuka
tari-tarisuru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tari-tarisuru-genki-i-chapter-11/	Genki I	-tari-tarisuru
tearu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tearu-genki-ii-chapter-21/	Genki II	-tearu
te-form	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/te-form-genki-i-chapter-6/	Genki I	te -form
te-form-joining-sentences	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/te-form-joining-sentences-genki-i-chapter-7/	Genki I	te -form joining sentences
tehoshi	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tehoshi-genki-ii-chapter-21/	Genki II	-tehoshi
teiru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/teiru-genki-i-chapter-7/	Genki I	-teiru
teitadakemasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/teitadakemasen-genki-ii-chapter-16/	Genki II	-teitadakemasen
tekudasai	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tekudasai-genki-i-chapter-6/	Genki I	-tekudasai
tekureruagerumorau	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tekureruagerumorau-genki-ii-chapter-16/	Genki II	-tekureru/ageru/morau
temiru	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/temiru-genki-ii-chapter-13/	Genki II	-temiru
temo	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/temo-genki-ii-chapter-23/	Genki II	-temo
temoiidesu-tewaikemasen	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/temoiidesu-tewaikemasen-genki-i-chapter-6/	Genki I	-temoiidesu, -tewaikemasen
teoku	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/teoku-genki-ii-chapter-15/	Genki II	-teoku
teshimau	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/teshimau-genki-ii-chapter-18/	Genki II	-teshimau
te-sumimasen-deshita	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/te-sumimasen-deshita-genki-ii-chapter-16/	Genki II	-te-sumimasen-deshita
teyokattadesu	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/teyokattadesu-genki-ii-chapter-19/	Genki II	-teyokattadesu
time-reference	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/time-reference-genki-i-chapter-3/	Genki I	Time reference
to	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/to-genki-ii-chapter-18/	Genki II	-to
toii	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/toii-genki-ii-chapter-16/	Genki II	-toii
toki	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/toki-genki-ii-chapter-16/	Genki II	-toki
transitive-pairs	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/transitive-pairs-genki-ii-chapter-18/	Genki II	Transitive pairs
tsumorida	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tsumorida-genki-i-chapter-10/	Genki I	-tsumorida
tte	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/tte%c2%81-%c2%81aa-genki-ii-chapter-17/	Genki II	-tte
u-and-ru-verbs	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/u-and-ru-verbs/	Genki I	u and ru verbs
using-sentences-to-qualify-nouns	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/using-sentences-to-qualify-nouns-genki-ii-chapter-15/	Genki II	Using sentences to qualify nouns
verbs-as-nouns	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/verbs-as-nouns-genki-i-chapter-8/	Genki I	Verbs as nouns
verb-stem-nasai	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/verb-stem-nasai-genki-ii-chapter-22/	Genki II	Verb stem + nasai
volitional-form	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/volitional-form-genki-ii-chapter-15/	Genki II	Volitional Form
word-order	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/word-order-genki-i-chapter-3/	Genki I	Word order
yasui-nikui	https://wp.stolaf.edu/japanese/ressource-projects/genki-i-ii-grammar-index/yasui-nikui-genki-ii-chapter-20/	Genki II	-yasui/-nikui
